Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1714236,Chortoq tumani,Чартакский район,Chartak district,Чортоқ тумани,160.8,170.3,173.1,175.7,178.9,182.4,186.0,187.4,190.9,194.6,198.5,202.2,206.2,210.4,214.9,219.2
1714237,Chust tumani,Чустский район,Chust district,Чуст тумани,218.0,226.5,230.2,233.5,237.7,242.0,246.7,251.0,255.0,259.7,264.8,269.3,274.5,279.7,285.6,291.4
1714242,Yangiqo‘rg‘on tumani,Янгикурганский район,Yangikurgan district,Янгиқўрғон тумани,176.0,189.9,193.1,196.2,199.7,203.4,207.2,205.4,208.8,212.9,217.2,221.9,226.7,232.1,237.1,241.8
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,3119.0,3270.8,3326.2,3380.9,3445.6,3514.8,3583.9,3651.7,3720.1,3798.9,3877.4,3947.7,4031.3,4118.2,4208.5,4297.5
1718401,Samarqand shahri,Город Самарканд,Samarkand city,Самарқанд шаҳри,399.7,407.4,500.9,504.3,509.0,513.6,519.2,523.8,529.6,538.2,546.3,551.7,561.7,572.8,585.2,595.8
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,Каттақўрғон шаҳар,77.8,79.3,80.6,80.9,82.0,83.2,84.6,86.0,86.9,88.0,89.6,90.6,91.9,93.4,94.9,95.9
1718203,Oqdaryo tumani,Акдарьинский район,Akdarya district,Оқдарё тумани,121.2,130.2,135.2,137.6,140.6,143.5,146.7,149.6,152.8,155.5,158.7,161.7,165.1,169.1,173.2,177.2
1718206,Bulung‘ur tumani,Булунгурский район,Bulungur district,Булунғур тумани,150.0,154.8,157.5,160.5,164.1,168.1,171.8,175.5,178.9,182.8,186.3,189.6,193.4,197.5,202.0,206.9
1718209,Jomboy tumani,Джамбайский район,Jomboy district,Жомбой тумани,135.3,139.6,142.0,144.8,148.3,152.0,155.5,159.1,163.1,167.5,171.9,176.0,180.5,184.8,189.5,194.1
1718212,Ishtixon tumani,Иштыханский район,Ishtykhan district,Иштихон тумани,195.0,210.6,214.3,218.4,222.7,227.4,232.4,237.1,242.1,247.7,253.3,258.2,264.4,270.2,275.9,282.2
1718215,Kattaqo‘rg‘on tumani,Каттакурганский район,Kattakurgan district,Каттақўрғон тумани,219.9,228.1,232.3,236.7,241.7,246.7,251.7,256.6,261.7,267.0,272.3,276.7,282.3,287.9,293.8,299.8
1718216,Qo‘shrabot tumani,Кошрабадский район,Koshrabad district,Қўшработ тумани,103.5,107.4,109.4,112.0,114.9,117.9,120.5,123.0,125.5,128.3,131.1,133.6,136.4,139.1,141.9,144.4
1718218,Narpay tumani,Нарпайский район,Narpai district,Нарпай тумани,170.2,182.7,184.7,187.2,190.2,193.9,198.0,201.7,205.0,208.7,212.4,215.5,219.2,223.4,227.4,231.6
1718224,Payariq tumani,Пайарыкский район,Payaryk district,Паяриқ тумани,202.9,210.3,213.7,217.1,220.8,225.3,229.5,234.2,238.6,244.1,249.5,254.6,260.3,266.9,273.3,279.8
1718227,Pastdarg‘om tumani,Пастдаргомский район,Pastdargom district,Пастдарғом тумани,277.9,294.3,299.6,305.2,311.8,318.5,325.3,332.1,338.9,346.0,353.2,360.0,367.4,375.0,383.3,392.1
1718230,Paxtachi tumani,Пахтачийский район,Pakhtachi district,Пахтачи тумани,121.8,125.5,126.7,128.1,129.9,132.1,134.2,136.4,138.5,141.3,143.9,146.0,147.9,150.0,152.3,154.5
1718233,Samarqand tumani,Самаркандский район,Samarkand district,Самарқанд тумани,283.2,299.6,214.5,218.1,223.0,228.3,232.3,237.0,241.2,246.3,251.5,256.5,261.5,267.3,272.8,278.6
1718235,Nurobod tumani,Нурабадский район,Nurabad district,Нуробод тумани,116.8,124.3,126.9,129.8,132.9,135.8,138.6,141.3,143.9,147.0,149.9,152.7,156.3,159.4,162.7,165.8
1718236,Urgut tumani,Ургутский район,Urgut district,Ургут тумани,389.1,411.3,419.8,428.5,438.0,448.7,459.7,470.4,481.7,494.6,507.0,519.2,532.5,545.7,559.2,572.6
1718238,Tayloq tumani,Тайлякский район,Tailak district,Тайлоқ тумани,154.7,165.4,168.1,171.7,175.7,179.8,183.9,187.9,191.7,195.9,200.5,205.1,210.5,215.7,221.1,226.2
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,2075.0,2175.1,2218.9,2260.6,2308.3,2358.3,2411.5,2462.3,2514.2,2569.9,2629.1,2680.8,2743.2,2806.5,2877.1,2945.5
1722401,Termiz shahri,Город Термез,Termiz  city,Термиз шаҳри,130.2,134.7,135.6,135.8,136.2,137.9,140.1,142.1,143.8,145.1,179.6,182.8,189.5,195.7,201.6,207.3
1722201,Oltinsoy tumani,Алтынсайский район,Altynsay district,Олтинсой тумани,134.4,144.4,147.4,150.4,153.8,157.2,160.9,164.6,168.2,172.1,176.4,180.2,184.0,187.9,192.6,197.4
1722202,Angor tumani,Ангорский район,Angor district,Aнгор тумани,102.7,109.2,111.7,114.0,116.5,119.0,121.7,124.2,126.9,129.3,132.1,134.7,137.4,140.4,143.8,147.0
1722203,Bandixon tumani,Бандихонский район,Bandykhan district,Бандихон тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3,76.5,78.7,80.8,83.0,85.3
1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,95.4,98.9,101.3,103.7,106.2,108.5,110.8,113.1,115.3,117.7,115.4,117.5,119.7,122.0,124.6,127.1
